Tribe,Apocynaceae,Asteraceae,Bignoniaceae,Boraginaceae,Burseraceae,Convolvulaceae,Euphorbiaceae,Leguminosae,Loasaceae,Malpighiaceae,Malvaceae,Passifloraceae,Solanaceae,Vervenaceae,Cucurbitaceae,Lamiaceae,Nyctaginaceae,Polygonaceae,Meliaceae,Zygophyllaceae,Scrophulariaceae,Portulacaceae,Rubiaceae,Anacardiaceae,Rutaceae,Cactaceae,Capparaceae
Meliponini,0,0,0,17,0,10,33,21,0,0,24,0,0,1,0,0,10,0,0,0,0,41,1,0,0,16,0
Meliponini,46,0,0,132,0,0,85,54,0,0,37,0,21,1,0,0,25,0,0,0,0,81,0,19,19,0,14
Centridini,0,0,0,26,0,6,8,22,0,0,13,0,8,60,0,0,0,0,0,0,0,0,3,0,0,0,0
Halictini,1,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
Exomalopsini,0,0,0,3,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Augochlorini,0,0,0,4,0,6,10,0,0,0,11,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0
Halictini,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
Halictini,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Emphorini,0,0,0,4,0,0,3,3,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Meliponini,0,0,0,7,0,0,1,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,6
Xylocopini,0,0,0,21,0,0,0,38,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0
Centridini,0,0,0,8,0,0,0,11,0,0,7,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0
Eucerini,0,0,0,1,0,0,37,1,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Meliponini,9,0,0,91,0,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Euglossini,0,0,0,21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emphorini,0,0,0,11,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Exomalopsini,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emphorini,0,0,0,9,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emphorini,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Halictini,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Ericrocidini,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0
Exomalopsini,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exomalopsini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Exomalopsini,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emphorini,0,0,0,12,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Centridini,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0
Centridini,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halictini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Halictini,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Megachilini,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ericrocidini,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ericrocidini,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Exomalopsini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Anthidiini,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meliponini,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euglossini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Euglossini,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Halictini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augochlorini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augochlorini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halictini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Anthidiini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anthidiini,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
